id;platform;quota;description;client_name;isPublic;time;date;name
31;voyk;15;"В сказочном лесу происходят непонятные странные обстоятельства и ребятам нужно провести расследование вместе с Новогодним Эльфом. 
Исследуют волшебные следы, создадут волшебные  растворы и разгадают все секреты. Конечно в этом сказочном мире есть и сказочная почта. Но оживает она через AR устройства. И технологии позволят читать волшебные письма не в магическом шаре, а прямо на телевизоре. Немного волшебных экспериментов и ответ как на ладони. 
2-й час
Магический лес полон не виданных растений и деревьев, а потому ребята соберут новогоднюю композицию из лесных материалов. Конечно и светодиодная гирлянда будет красивый подвес.

Перерыв на горячее поможет собрать силы 

После перерыва нас ожидает встреча с музыкальным  волшебником этого леса. 
Пройдя  мастер-класс "" Джем Пати""и сыграв любимые модные песенки всей командой (специальной подготовки не требуется) ребята отправляются на встречу с Дедом Морозом - главным Волшебником Нового года. Наш Дедушка Мороз и конечно не отпустит ребят без Магии и волшебства. 
А затем все ребята приглашаются на фольгированную дискотеку. Но сначала как следует потанцуем без фольги. Надо же движения танца Эльфов разучить тоже.

Тематическое оформление стола. Скатерти, тарелочки, стаканчики, салфетки и вилки в праздничной тематике  одноразовое. 
Зал оформлен в Новогодней тематике. 
Участие 2500р (только для маленьких Арт-верандовцев). Угощения (пицца новогодние сладости, сок, чай) включены.
Для людей со стороны 3000р.";;True;11:00:00;2023-01-24;Новогодняя Ёлка 5+
32;voyk;21;Шцылвлыд;;True;13:05:00;2023-12-21;Лулулвьвлвд
